movies
A01,Vidas de Papel,Drama,120,2.0,Good movie
A13,El Ascenso,Action,121,5.0,So so
A14,Enola Homes,Action,160,1.0,Not bad
A04,Los Hijos de la Calle,Drama,146,4.0,So so
series
A58,The Rains of Castamere,Mystery,40,4.9,Very long
A58,Hardhome,Mystery,40,4.9,Saad end
A58,Battle of the Bastards,Mystery,40,4.9,Very well
A58,The Winds of Winter,Mystery,40,4.9,Nice 
A58,The Spoils of War,Mystery,7,4.8,So nice
A54,The Bad Batch,Action,57,4.0,Nice 
A54,A Distant Echo,Mystery,57,3.8,So nice
A54,On the Wings of Keeradaks,Mystery,57,4.1,So so
A54,Unfinished Business,Mystery,57,4.3,Not bad
A54,Gone with a Trace,Mystery,57,4.1,It's bad
